material_id,formula,band_gap_eV,e_above_hull_eV,n_atoms,volume_A3,atomic_density,mean_mass_amu,max_mass_amu,min_mass_amu,std_mass_amu,mean_eneg,std_eneg,n_elements,emt_energy_per_atom
mp-985701,AgAs3H2O9,0.8362,0.0,30,373.5989,0.0803,31.9093,107.8682,1.008,32.1537,2.922,0.6374,4,
mp-2646989,AgAsBr4,1.0937,0.0586,12,394.1556,0.030445,83.7343,107.8682,74.9216,10.9453,2.6583,0.4327,3,
mp-554710,AgAsC4S8(N2F3)2,2.6314,0.2283,24,507.2635,0.047313,27.3888,107.8682,12.011,21.4043,2.9579,0.6379,6,
mp-37153,AgAsF6,1.7394,0.0,8,143.5473,0.055731,37.0975,107.8682,18.9984,32.4126,3.4988,0.8359,3,
mp-997022,AgAsO2,2.3753,0.0488,8,140.806,0.056816,53.6969,107.8682,15.999,39.4566,2.7475,0.6981,3,
mp-558950,AgAsO3,0.4985,0.0258,120,1728.6995,0.069416,46.1574,107.8682,15.999,38.3776,2.886,0.6831,3,
mp-775767,AgAsO3,0.5617,0.0373,20,304.7255,0.065633,46.1574,107.8682,15.999,38.3776,2.886,0.6831,3,
mp-1178563,AgAsO3,0.2921,0.0,10,119.2806,0.083836,46.1574,107.8682,15.999,38.3776,2.886,0.6831,3,
mp-22665,AgAsPbS3,1.3314,0.0,24,587.8927,0.040824,81.0283,207.2,32.06,63.0749,2.3633,0.2461,4,
mp-1196797,AgAsS16N16(O4F3)2,1.8442,0.4817,96,1731.1743,0.055454,24.2051,107.8682,14.007,16.409,3.0298,0.4986,6,
mp-13740,AgAsS2,1.5037,0.0011,24,552.3327,0.043452,61.7274,107.8682,32.06,31.8723,2.3175,0.277,3,
mp-542609,AgAsS2,1.5154,0.0101,48,1051.9137,0.045631,61.7274,107.8682,32.06,31.8723,2.3175,0.277,3,
mp-649756,AgAsS6N4(OF3)2,1.8583,0.3357,80,1470.5884,0.0544,28.8583,107.8682,14.007,22.6077,3.1255,0.6602,6,
mp-1229194,AgAu(IO3)4,1.2573,0.0,36,592.8008,0.060729,55.8023,196.9666,15.999,58.6287,3.1328,0.461,4,
mp-570340,AgAuCl4,0.8406,0.0,12,309.1137,0.038821,74.4391,196.9666,35.45,60.8428,2.8517,0.4703,3,
mp-16060,AgAuF4,1.0268,0.0,12,175.1154,0.068526,63.4714,196.9666,18.9984,67.9503,3.3983,0.8412,3,
mp-996983,AgAuO2,0.6175,0.0,8,115.7162,0.069135,84.2082,196.9666,15.999,75.1319,2.8375,0.6399,3,1.044787
mp-776165,AgAuO3,0.2423,0.0594,20,273.4887,0.073129,70.5664,196.9666,15.999,72.5276,2.958,0.621,3,0.861246
mp-37920,AgAuS2,0.1274,0.1349,8,206.4367,0.038753,92.2387,196.9666,32.06,67.9249,2.4075,0.2762,3,
mp-10413,AgB(CN)4,4.2798,0.4367,10,194.1059,0.051518,22.275,107.8682,10.81,28.5525,2.633,0.3919,4,
mp-738633,AgB10H26C6N,3.8864,0.134,176,1618.1766,0.108764,7.4602,107.8682,1.008,16.127,2.2243,0.1991,5,
